Principio Attivo	Descrizione Gruppo Equivalenza	Denominazione e Confezione	Prezzo al pubblico �	Titolare AIC	"Codice 
AIC"	Codice Gruppo Equivalenza	X=in lista di trasparenza Aifa 15/12/2020	Solo in lista di Regione:	Metri cubi ossigeno 
Furosemide	FUROSEMIDE 500MG 20 UNITA' USO ORALE	LASIX*20 cpr 500 mg	17,64	SANOFI SpA	23993037	89C	X		
Furosemide	FUROSEMIDE 25MG 30 UNITA' USO ORALE	FUROSEMIDE*30 cpr 25 mg	1,46	DOC GENERICI Srl	35213040	89D	X		
Furosemide	FUROSEMIDE 25MG 30 UNITA' USO ORALE	FUROSEMIDE*30 cpr 25 mg	1,46	LAB.FARMACOLOGICO MILANESE Srl	30210013	89D	X		
Furosemide	FUROSEMIDE 25MG 30 UNITA' USO ORALE	FUROSEMIDE*30 cpr 25 mg	1,46	MYLAN SpA	35211046	89D	X		
Furosemide	FUROSEMIDE 25MG 30 UNITA' USO ORALE	FUROSEMIDE*30 cpr 25 mg	1,46	TEVA ITALIA Srl	35206034	89D	X		
Furosemide	FUROSEMIDE 25MG 30 UNITA' USO ORALE	LASIX*30 cpr 25 mg	1,72	SANOFI SpA	23993013	89D	X		
Furosemide	FUROSEMIDE 10MG/ML 100ML USO ORALE	LASIX*orale soluz 100 ml 10 mg/ml	4,85	SANOFI SpA	23993052	89E			
Furosemide	FUROSEMIDE 25MG 60 UNITA' USO ORALE	FUROSEMIDE*60 cpr 25 mg	2,64	MYLAN SpA	35211109	LBS			
Furosemide/spironolattone	FUROSEMIDE+SPIRONOLATTONE 25+37MG 20 UNITA' USO ORALE	LASITONE*20 cps 25 mg + 37 mg	5,40	SANOFI SpA	23770011	MEA			
Furosemide/spironolattone	FUROSEMIDE+SPIRONOLATTONE 50+20MG 10 UNITA' USO ORALE	SPIROFUR*10 cps 50 mg + 20 mg	3,56	BRUNO FARMACEUTICI SpA	23749017	MEB			
Furosemide/spironolattone	FUROSEMIDE+SPIRONOLATTONE 50+20MG 20 UNITA' USO ORALE	SPIROFUR*20 cps 50 mg + 20 mg	5,91	BRUNO FARMACEUTICI SpA	23749056	MEC			
Furosemide/triamterene	FUROSEMIDE+TRIAMTERENE 40+25MG 20 UNITA' USO ORALE	FLUSS*20 cpr 40 mg + 25 mg	3,33	ACARPIA FARMACEUTICI Srl	21360021	MFA			
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABANEX*30 cps 400 mg	12,00	TILLOMED ITALIA Srl	46685119	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	ABC FARMACEUTICI SpA	36519039	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	ALMUS Srl	36009037	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	AUROBINDO PHARMA ITALIA Srl	40566198	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	DOC GENERICI Srl	35944038	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	EG SpA	36131035	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	HEXAL A/S	38242184	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	MYLAN SpA	36607190	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	PENSA PHARMA SpA	36190039	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	SANDOZ GMBH	38547232	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	TECNIGEN Srl	38816118	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	TEVA PHARMA B.V.	36698468	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg	12,00	ZENTIVA ITALIA Srl	36777365	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	GABAPENTIN*30 cps 400 mg flacone	12,00	SUN PHARMACEUTICAL IND.EU.B.V.	38346159	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	NEURONTIN*30 cps 400 mg	23,88	BB FARMA Srl	42166025	C1A	X		
Gabapentin	GABAPENTIN 400MG 30 UNITA' USO ORALE	NEURONTIN*30 cps 400 mg	23,88	PFIZER ITALIA Srl	28740037	C1A	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABANEX*50 cps 100 mg	6,00	TILLOMED ITALIA Srl	46685020	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	ABC FARMACEUTICI SpA	36519015	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	ALMUS Srl	36009013	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	AUROBINDO PHARMA ITALIA Srl	40566046	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	DOC GENERICI Srl	35944014	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	EG SpA	36131011	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	HEXAL A/S	38242032	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	MYLAN SpA	36607048	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	PENSA PHARMA SpA	36190015	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	SANDOZ GMBH	38547055	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	TECNIGEN Srl	38816169	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	TEVA PHARMA B.V.	36698037	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 100 mg	6,00	ZENTIVA ITALIA Srl	36777047	C1B	X		
Gabapentin	GABAPENTIN 100MG 50 UNITA' USO ORALE	NEURONTIN*50 cps 100 mg	11,41	PFIZER ITALIA Srl	28740013	C1B	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABANEX*50 cps 300 mg	18,00	TILLOMED ITALIA Srl	46685071	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	ABC FARMACEUTICI SpA	36519027	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	ALMUS Srl	36009025	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	AUROBINDO PHARMA ITALIA Srl	40566123	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	DOC GENERICI Srl	35944026	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	EG SpA	36131023	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	HEXAL A/S	38242107	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	LABORATORI ALTER Srl	36574022	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	MYLAN SpA	36607125	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	PENSA PHARMA SpA	36190027	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	SANDOZ GMBH	38547143	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	TECNIGEN Srl	38816171	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	TEVA PHARMA B.V.	36698189	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg	18,00	ZENTIVA ITALIA Srl	36777213	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	GABAPENTIN*50 cps 300 mg flacone	18,00	SUN PHARMACEUTICAL IND.EU.B.V.	38346060	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	NEURONTIN*50 cps 300 mg	36,07	BB FARMA Srl	42166013	C1C	X		
Gabapentin	GABAPENTIN 300MG 50 UNITA' USO ORALE	NEURONTIN*50 cps 300 mg	36,07	PFIZER ITALIA Srl	28740025	C1C	X		
Galantamina	GALANTAMINA 8MG 28 UNITA' USO ORALE RP	GALNORA*28 cps 8 mg rilascio prolungato	31,02	KRKA D.D.NOVO MESTO	39889136	G1A	X		
Galantamina	GALANTAMINA 8MG 28 UNITA' USO ORALE RP	REMINYL*28 cps 8 mg rilascio prolungato	32,61	JANSSEN CILAG SpA	34752117	G1A	X		
Galantamina	GALANTAMINA 16MG 28 UNITA' USO ORALE RP	GALNORA*28 cps 16 mg rilascio prolungato	39,02	KRKA D.D.NOVO MESTO	39889314	G1B	X		
Galantamina	GALANTAMINA 16MG 28 UNITA' USO ORALE RP	REMINYL*28 cps 16 mg rilascio prolungato	40,62	JANSSEN CILAG SpA	34752131	G1B	X		
Galantamina	GALANTAMINA 24MG 28 UNITA' USO ORALE RP	GALNORA*28 cps 24 mg rilascio prolungato	44,09	KRKA D.D.NOVO MESTO	39889504	G1C	X		
Galantamina	GALANTAMINA 24MG 28 UNITA' USO ORALE RP	REMINYL*28 cps 24 mg rilascio prolungato	45,70	JANSSEN CILAG SpA	34752170	G1C	X		
Galcanezumab	GALCANEZUMAB 120MG 1ML 1 UNITA' USO PARENTERALE	EMGALITY*1 penna SC 120 mg 1 ml	633,03	ELI LILLY NEDERLAND BV	47424015	KVK			
Gemfibrozil	GEMFIBROZIL 900MG 20 UNITA' USO ORALE	GEMFIBROZIL*20 cpr 900 mg	5,58	DOC GENERICI Srl	34080022	15A	X		
Gemfibrozil	GEMFIBROZIL 900MG 20 UNITA' USO ORALE	GEMFIBROZIL*20 cpr 900 mg	5,58	EG SpA	29512011	15A	X		
Gemfibrozil	GEMFIBROZIL 900MG 20 UNITA' USO ORALE	GENLIP TC*20 cpr 900 mg	8,02	TEOFARMA Srl	26737039	15A	X		
Gemfibrozil	GEMFIBROZIL 900MG 20 UNITA' USO ORALE	LOPID*20 cpr riv 900 mg	8,02	PFIZER ITALIA Srl	25445053	15A	X		
Gemfibrozil	GEMFIBROZIL 600MG 30 UNITA' USO ORALE	GEMFIBROZIL*30 cpr 600 mg	6,40	DOC GENERICI Srl	34080010	15B	X		
Gemfibrozil	GEMFIBROZIL 600MG 30 UNITA' USO ORALE	GEMFIBROZIL*30 cpr 600 mg	6,40	EG SpA	29512023	15B	X		
Gemfibrozil	GEMFIBROZIL 600MG 30 UNITA' USO ORALE	LOPID*30 cpr riv 600 mg	9,32	PFIZER ITALIA Srl	25445026	15B	X		
Glatiramer	GLATIRAMER 20MG 28 UNITA' USO PARENTERALE	COPEMYL*28 siringhe 20 mg/ml	893,77	MYLAN SpA	43860028	TUA	X		
Glatiramer	GLATIRAMER 20MG 28 UNITA' USO PARENTERALE	COPAXONE*28 siringhe SC 20 mg/ml 1 ml	1.145,86	TEVA GmbH	35418021	TUA	X		
Glatiramer	GLATIRAMER 40MG 12 UNITA' USO PARENTERALE	COPEMYLTRI*12 siringhe preriempite 40 mg/ml 1 ml	859,40	MYLAN SpA	45673023	TUB	X		
Glatiramer	GLATIRAMER 40MG 12 UNITA' USO PARENTERALE	COPAXONE*12 siringhe SC 40 mg/ml 1 ml	1.145,86	TEVA GmbH	35418060	TUB	X		
Glecaprevir/Pibrentasvir	GLECAPREVIR+PIBRENTASVIR 100MG+40MG 84 UNITA' USO ORALE	MAVIRET*4x21 cpr riv 100 mg + 40 mg confezione multipla	20.852,80	ABBVIE DEUTSCHLAND GmbH&CO.KG	45445018	KCT			
Glibenclamide	GLIBENCLAMIDE 5MG 30 UNITA' USO ORALE	DAONIL*30 cpr 5 mg	2,94	SANOFI SpA	21642018	MHA			
Glibenclamide	GLIBENCLAMIDE 5MG 30 UNITA' USO ORALE	GLIBEN*30 cpr 5 mg	2,94	ABIOGEN PHARMA SpA	22541015	MHA			
Glibenclamide	GLIBENCLAMIDE 5MG 30 UNITA' USO ORALE	GLIBORAL*30 cpr 5 mg	2,94	LABORATORI GUIDOTTI SpA	22592012	MHA			
Glicerolo fenilbutirrato	GLICEROLO FENILBUTIRRATO 27,5G 25ML FLACONE+ADATTATORE USO ORALE	RAVICTI*1 flacone 25 ml 1,1 g/ml + adattatore	250,86	IMMEDICA PHARMA AB	44568018	KKR			
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	GLICLAZIDE*40 cpr 80 mg	3,34	MOLTENI & C. F.LLI ALITTI SpA	33363019	92A	X		
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	GLICLAZIDE*40 cpr 80 mg	3,34	ZENTIVA ITALIA Srl	36376010	92A	X		
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	GLICLAZIDE*40 cpr div 80 mg	3,34	PENSA PHARMA SpA	36643017	92A	X		
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	GLICLAZIDE*40 cpr 80 mg	4,03	DOC GENERICI Srl	36528014	92A	X		
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	GLICLAZIDE*40 cpr 80 mg	4,03	MYLAN SpA	36244010	92A	X		
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	GLICLAZIDE*40 cpr div 80 mg	4,03	ALMUS Srl	36245013	92A	X		
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	GLICLAZIDE*40 cpr div 80 mg	4,03	EG SpA	36282010	92A	X		
Gliclazide	GLICLAZIDE 80MG 40 UNITA' USO ORALE	DIABREZIDE*40 cpr 80 mg	6,14	MOLTENI & C. F.LLI ALITTI SpA	31844018	92A	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLEUKOS*60 cpr 30 mg rilascio modificato	6,80	S.F. GROUP Srl	45026022	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	EG SpA	42462085	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	KRKA D.D.NOVO MESTO	39038070	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	KRKA FARMACEUTICI MILANO Srl  	39038587	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	MYLAN SpA	38469072	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	SANDOZ SpA	43430038	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	TEVA ITALIA Srl	38372076	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	ZENTIVA ITALIA Srl	42893014	92B	X		
GLICLAZIDE	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	GLICLAZIDE*60 cpr 30 mg rilascio modificato	6,80	ZENTIVA ITALIA Srl	42893038	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	DIAMICRON*60 cpr 30 mg rilascio modificato	11,86	GMM FARMA Srl	45630011	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	DIAMICRON*60 cpr 30 mg rilascio modificato	11,86	LES LABORATOIRES SERVIER	23404092	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	DIAMICRON*60 cpr 30 mg rilascio modificato	11,86	MEDIFARM Srl	45637028	92B	X		
Gliclazide	GLICLAZIDE 30MG 60 UNITA' USO ORALE RM	DRAMION*60 cpr 30 mg rilascio modificato	11,86	STRODER Srl	35564083	92B	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	GLEUKOS*30 cpr 60 mg rilascio modificato	5,37	S.F. GROUP Srl	45026059	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	GLICLAZIDE*30 cpr 60 mg rilascio modificato	5,37	EG SpA	44754012	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	GLICLAZIDE*30 cpr 60 mg rilascio modificato	5,37	KRKA D.D.NOVO MESTO	39038195	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	GLICLAZIDE*30 cpr 60 mg rilascio modificato	5,37	KRKA D.D.NOVO MESTO	39038296	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	GLICLAZIDE*30 cpr 60 mg rilascio modificato	5,37	SANDOZ B.V.	44076089	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	GLICLAZIDE*30 cpr 60 mg rilascio modificato	5,37	SUN PHARMACEUTICAL IND.EU.B.V.	43644044	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	GLICLAZIDE*30 cpr 60 mg rilascio modificato	5,37	TEVA ITALIA Srl	44883066	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	DIAMICRON*30 cpr 60 mg rilascio modificato	7,37	LES LABORATOIRES SERVIER	23404231	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	DIAMICRON*30 cpr 60 mg rilascio modificato	7,37	MEDIFARM Srl	45637016	92C	X		
Gliclazide	GLICLAZIDE 60MG 30 UNITA' USO ORALE RM	DRAMION*30 cpr 60 mg rilascio modificato	7,37	STRODER Srl	35564222	92C	X		
Glicopirronio	GLICOPIRRONIO BROMURO 44MCG 30 UNITA' USO RESPIRATORIO	SEEBRI BREEZHALER*30 cps 44 mcg polv inal	45,37	NOVARTIS EUROPHARM LTD	42306035	TXA			
Glicopirronio	GLICOPIRRONIO BROMURO 44MCG 30 UNITA' USO RESPIRATORIO	TOVANOR BREEZHALER*polv inal 30 cps 44 mcg	45,37	NOVARTIS EUROPHARM LTD	42313039	TXA			
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 2 mg	2,12	ACCORD HEALTHCARE SLU	39162060	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 2 mg	2,12	AUROBINDO PHARMA ITALIA Srl	38642106	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 2 mg	2,12	AUROBINDO PHARMA ITALIA Srl	45365020	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 2 mg	2,12	EG SpA	36962037	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 2 mg	2,12	MYLAN SpA	36958015	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 2 mg	2,12	SANDOZ GMBH	38724249	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	SOLOSA*30 cpr 2 mg	2,33	LABORATORI GUIDOTTI SpA	32117018	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	AMARYL*30 cpr 2 mg	2,34	SANOFI SpA	32845012	CMA	X		
Glimepiride	GLIMEPIRIDE 2MG 30 UNITA' USO ORALE	DIAMEL*30 cpr 2 mg	2,80	S.F. GROUP Srl	37139021	CMA	X		
Glimepiride	GLIMEPIRIDE 3MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 3 mg	3,56	ACCORD HEALTHCARE SLU	39162108	CMB	X		
Glimepiride	GLIMEPIRIDE 3MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 3 mg	3,56	AUROBINDO PHARMA ITALIA Srl	38642171	CMB	X		
Glimepiride	GLIMEPIRIDE 3MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 3 mg	3,56	AUROBINDO PHARMA ITALIA Srl	45365095	CMB	X		
Glimepiride	GLIMEPIRIDE 3MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 3 mg	3,92	SANDOZ GMBH	38724415	CMB	X		
Glimepiride	GLIMEPIRIDE 3MG 30 UNITA' USO ORALE	SOLOSA*30 cpr 3 mg	3,92	LABORATORI GUIDOTTI SpA	32117160	CMB	X		
Glimepiride	GLIMEPIRIDE 3MG 30 UNITA' USO ORALE	AMARYL*30 cpr 3 mg	3,94	SANOFI SpA	32845164	CMB	X		
Glimepiride	GLIMEPIRIDE 4MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 4 mg	3,56	ACCORD HEALTHCARE SLU	39162146	CMC	X		
Glimepiride	GLIMEPIRIDE 4MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 4 mg	3,56	AUROBINDO PHARMA ITALIA Srl	38642245	CMC	X		
Glimepiride	GLIMEPIRIDE 4MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 4 mg	3,56	AUROBINDO PHARMA ITALIA Srl	45365160	CMC	X		
Glimepiride	GLIMEPIRIDE 4MG 30 UNITA' USO ORALE	GLIMEPIRIDE*30 cpr 4 mg	3,92	SANDOZ GMBH	38724581	CMC	X		
Glimepiride	GLIMEPIRIDE 4MG 30 UNITA' USO ORALE	SOLOSA*30 cpr 4 mg	3,92	LABORATORI GUIDOTTI SpA	32117222	CMC	X		
Glimepiride	GLIMEPIRIDE 4MG 30 UNITA' USO ORALE	AMARYL*30 cpr 4 mg	3,94	SANOFI SpA	32845226	CMC	X		
Glipizide	GLIPIZIDE 5MG 30 UNITA' USO ORALE	MINIDIAB*30 cpr 5 mg	4,23	PFIZER ITALIA Srl	22410017	MIA			
Gliquidone	GLIQUIDONE 30MG 40 UNITA' USO ORALE	GLURENOR*40 cpr 30 mg	4,98	LABORATORI GUIDOTTI SpA	24080020	MJA			
Glucagone	GLUCAGONE 1MG 1 UNITA' USO PARENTERALE	GLUCAGEN HYPOKIT*1 fiala 1 mg + 1 siringa 1 ml	24,01	NOVO NORDISK A/S	27489018	MKA			
Glucosio	GLUCOSIO 5% 10ML USO PARENTERALE	GLUCOSIO*1 fiala 10 ml 5%	0,26	GALENICA SENESE Srl	29863014	93A	X		
Glucosio	GLUCOSIO 5% 10ML USO PARENTERALE	GLUCOSIO*1 fiala IM EV 10 ml 5%	0,26	MONICO SpA	30793626	93A	X		
Glucosio	GLUCOSIO 5% 20ML USO PARENTERALE	GLUCOSIO*1 fiala 20 ml 5%	0,29	GALENICA SENESE Srl	29863026	93B	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 5%	1,36	BAXTER SpA	30923039	93D	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 5%	1,36	BIOINDUSTRIA L.I.M. SpA	32387021	93D	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 5%	1,36	EUROSPITAL SpA	32183028	93D	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 5%	1,36	FRESENIUS KABI ITALIA Srl	30769032	93D	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 5%	1,36	GALENICA SENESE Srl	29863053	93D	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 5%	1,36	SALF SpA	30672152	93D	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone EV 250 ml 5%	1,36	DIACO BIOFARMACEUTICI Srl	33851039	93D	X		
Glucosio	GLUCOSIO 5% 250ML USO PARENTERALE	GLUCOSIO*1 flacone EV 250 ml 5%	1,36	MONICO SpA	30793107	93D	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 5%	1,63	BAXTER SpA	30923041	93E	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 5%	1,63	BIOINDUSTRIA L.I.M. SpA	32387033	93E	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 5%	1,63	EUROSPITAL SpA	32183030	93E	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 5%	1,63	FRESENIUS KABI ITALIA Srl	30769044	93E	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 5%	1,63	GALENICA SENESE Srl	29863065	93E	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 5%	1,63	SALF SpA	30672164	93E	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone EV 500 ml 5%	1,63	DIACO BIOFARMACEUTICI Srl	33851041	93E	X		
Glucosio	GLUCOSIO 5% 500ML USO PARENTERALE	GLUCOSIO*1 flacone EV 500 ml 5%	1,63	MONICO SpA	30793119	93E	X		
Glucosio	GLUCOSIO 10% 10ML USO PARENTERALE	GLUCOSIO*1 fiala 10 ml 10%	0,27	GALENICA SENESE Srl	29863139	93F	X		
Glucosio	GLUCOSIO 10% 10ML USO PARENTERALE	GLUCOSIO*1 fiala IM EV 10 ml 10%	0,27	MONICO SpA	30793020	93F	X		
Glucosio	GLUCOSIO 10% 20ML USO PARENTERALE	GLUCOSIO*1 fiala 20 ml 10%	0,29	GALENICA SENESE Srl	29863141	93G	X		
